grep -inr --color -e "opening JDBC connection" -e "releasing JDBC connection" .

2015-09-05 17:53:07,243 | DEBUG | xdc-db-1-thread-1 | Creating new transaction with name [com.xdc.basic.api.hibernate.orm3.spring.framwaork.service.impl.StudentServiceImpl.addStudent]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT,-Exception [ Method: org.springframework.transaction.support.AbstractPlatformTransactionManager.getTransaction:366 ]
2015-09-05 17:53:07,407 | DEBUG | xdc-db-1-thread-1 | opened session at timestamp: 5904166040576000 [ Method: org.hibernate.impl.SessionImpl.<init>:265 ]
2015-09-05 17:53:07,408 | DEBUG | xdc-db-1-thread-1 | Opened new Session [org.hibernate.impl.SessionImpl@b6b321] for Hibernate transaction [ Method: org.springframework.orm.hibernate3.HibernateTransactionManager.doBegin:494 ]
2015-09-05 17:53:07,415 | DEBUG | xdc-db-1-thread-1 | Preparing JDBC Connection of Hibernate Session [org.hibernate.impl.SessionImpl@b6b321] [ Method: org.springframework.orm.hibernate3.HibernateTransactionManager.doBegin:505 ]
2015-09-05 17:53:07,509 | DEBUG | xdc-db-1-thread-1 | begin [ Method: org.hibernate.transaction.JDBCTransaction.begin:78 ]
2015-09-05 17:53:07,509 | DEBUG | xdc-db-1-thread-1 | opening JDBC connection [ Method: org.hibernate.jdbc.ConnectionManager.openConnection:444 ]
2015-09-05 17:53:07,511 | DEBUG | xdc-db-1-thread-1 | current autocommit status: true [ Method: org.hibernate.transaction.JDBCTransaction.begin:83 ]
2015-09-05 17:53:07,511 | DEBUG | xdc-db-1-thread-1 | disabling autocommit [ Method: org.hibernate.transaction.JDBCTransaction.begin:86 ]
2015-09-05 17:53:07,519 | DEBUG | xdc-db-1-thread-1 | Exposing Hibernate transaction as JDBC transaction [jdbc:mysql://192.168.1.100:3306?useUnicode=true&characterEncodeing=utf-8, UserName=root@192.168.1.1, MySQL-AB JDBC Driver] [ Method: org.springframework.orm.hibernate3.HibernateTransactionManager.doBegin:570 ]
2015-09-05 17:54:26,985 | DEBUG | xdc-db-1-thread-1 | Found thread-bound Session for HibernateTemplate [ Method: org.springframework.orm.hibernate3.HibernateTemplate.doExecute:397 ]
2015-09-05 17:54:27,011 | DEBUG | xdc-db-1-thread-1 | generated identifier: 5d33cc42-c011-4518-93a6-03e3caa79d16, using strategy: org.hibernate.id.Assigned [ Method: org.hibernate.event.def.AbstractSaveEventListener.saveWithGeneratedId:134 ]
2015-09-05 17:54:27,088 | DEBUG | xdc-db-1-thread-1 | Not closing pre-bound Hibernate Session after HibernateTemplate [ Method: org.springframework.orm.hibernate3.HibernateTemplate.doExecute:422 ]
2015-09-05 17:55:34,582 | DEBUG | xdc-db-1-thread-1 | Found thread-bound Session for HibernateTemplate [ Method: org.springframework.orm.hibernate3.HibernateTemplate.doExecute:397 ]
2015-09-05 17:55:34,582 | DEBUG | xdc-db-1-thread-1 | generated identifier: 8d084434-f635-44b9-9645-821f78811d01, using strategy: org.hibernate.id.Assigned [ Method: org.hibernate.event.def.AbstractSaveEventListener.saveWithGeneratedId:134 ]
2015-09-05 17:55:34,582 | DEBUG | xdc-db-1-thread-1 | Not closing pre-bound Hibernate Session after HibernateTemplate [ Method: org.springframework.orm.hibernate3.HibernateTemplate.doExecute:422 ]
2015-09-05 17:55:34,583 | DEBUG | xdc-db-1-thread-1 | Initiating transaction commit [ Method: org.springframework.transaction.support.AbstractPlatformTransactionManager.processCommit:753 ]
2015-09-05 17:55:34,583 | DEBUG | xdc-db-1-thread-1 | Committing Hibernate transaction on Session [org.hibernate.impl.SessionImpl@b6b321] [ Method: org.springframework.orm.hibernate3.HibernateTransactionManager.doCommit:653 ]
2015-09-05 17:55:34,583 | DEBUG | xdc-db-1-thread-1 | commit [ Method: org.hibernate.transaction.JDBCTransaction.commit:130 ]
2015-09-05 17:55:34,584 | DEBUG | xdc-db-1-thread-1 | processing flush-time cascades [ Method: org.hibernate.event.def.AbstractFlushingEventListener.prepareEntityFlushes:134 ]
