2013-06-18 00:55:16,474 | DEBUG | main | Logging Provider: org.jboss.logging.Log4jLoggerProvider [ Method: org.hibernate.validator.internal.util.logging.LoggerFactory.make(LoggerFactory.java:29) ] 
2013-06-18 00:55:16,478 | INFO  | main | HV000001: Hibernate Validator 5.0.1.Final [ Method: org.hibernate.validator.internal.util.Version.<clinit>(Version.java:27) ] 
2013-06-18 00:55:16,496 | DEBUG | main | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable. [ Method: org.hibernate.validator.internal.engine.resolver.DefaultTraversableResolver.detectJPA(DefaultTraversableResolver.java:74) ] 
2013-06-18 00:55:16,504 | DEBUG | main | Trying to load META-INF/validation.xml for XML based Validator configuration. [ Method: org.hibernate.validator.internal.xml.ValidationXmlParser.getInputStream(ValidationXmlParser.java:88) ] 
2013-06-18 00:55:16,510 | DEBUG | main | No META-INF/validation.xml found. Using annotation based configuration only. [ Method: org.hibernate.validator.internal.xml.ValidationXmlParser.getInputStream(ValidationXmlParser.java:95) ] 
2013-06-18 00:55:16,669 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 00:55:16,677 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 00:55:16,756 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 00:55:16,756 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 00:55:16,770 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 00:55:16,770 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 00:58:55,941 | DEBUG | main | Logging Provider: org.jboss.logging.Log4jLoggerProvider [ Method: org.hibernate.validator.internal.util.logging.LoggerFactory.make(LoggerFactory.java:29) ] 
2013-06-18 00:58:55,946 | INFO  | main | HV000001: Hibernate Validator 5.0.1.Final [ Method: org.hibernate.validator.internal.util.Version.<clinit>(Version.java:27) ] 
2013-06-18 00:58:55,969 | DEBUG | main | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable. [ Method: org.hibernate.validator.internal.engine.resolver.DefaultTraversableResolver.detectJPA(DefaultTraversableResolver.java:74) ] 
2013-06-18 00:58:55,978 | DEBUG | main | Trying to load META-INF/validation.xml for XML based Validator configuration. [ Method: org.hibernate.validator.internal.xml.ValidationXmlParser.getInputStream(ValidationXmlParser.java:88) ] 
2013-06-18 00:58:55,987 | DEBUG | main | No META-INF/validation.xml found. Using annotation based configuration only. [ Method: org.hibernate.validator.internal.xml.ValidationXmlParser.getInputStream(ValidationXmlParser.java:95) ] 
2013-06-18 00:58:56,146 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 00:58:56,149 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 00:58:56,160 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 00:58:56,161 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 00:58:56,171 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
